id,nhogar,miembro,comuna,dominio,edad,sexo,parentes_2,p5_2,p6_a,p6_b,estado,categori,t13,t14,t18,t28,t29,t29a,t30,sem_hs,t33,t34,t35,t37_cod_2,t37_coda_2,t38,t39,t40,t41_cod_2,t47,t48,t51_bis,i1,i4,i6_3,i10,i11,codioph,ioph_2,codioph_neto,ioph_neto_2,codios,ios_2,codioa,ioa_2,codlab,inglab_2,codi3_1x,i3_1x_2,codi3_2x,i3_2x_2,codi3_8x,i3_8x_2,codi3_est,i3_est_2,codi3_otr,i3_otr_2,codnolab,ingnolab_2,coding,ingtot_2,codi_tot,itfb_2,ipcfb_2,e2,e4,e6,e8,e12,e13,e14,edad_30,nivel,aesc,m1,m1_2,m2_anio,m3_anio,tipcob2_2,sn1_1,sn1_7,sn1_2,sn1_3,sn1_4,sn1_5,s8,sn14,sn16,s28,s29,fexp,sexotexto
966,1,3,8,villas emergencia,8,mujer,3,0,2,1,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13300,4433,1,1,3,2,No corresponde,0,0,7,2,1,5,5,2011,2011,1,2,2,2,2,2,2,2,0,Muy bueno,0,0,52,mujer
967,1,1,3,inquilinatos hoteles inmuebles tomados,32,varon,1,3,0,0,ocupado,3,0,0,0,0,0,0,1,50,2,0,2,8401,6,1,3,4,92332,0,0,1,1,0,2,0,0,1,15000,1,15000,0,0,2,0,1,15000,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,1,30000,15000,2,0,0,0,Secundario/ medio común,1,0,32,5,12,3,3,0,2004,2,1,2,2,2,2,2,2,0,Excelente,0,0,9,varon
967,1,2,3,inquilinatos hoteles inmuebles tomados,32,varon,8,1,0,0,ocupado,3,0,0,0,0,0,0,1,80,2,0,2,8401,6,1,2,4,49312,0,0,1,1,0,2,0,0,1,15000,1,15000,0,0,2,0,1,15000,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,1,30000,15000,2,0,0,0,Secundario/ medio común,1,0,31,5,12,3,3,0,2003,2,1,2,2,2,2,2,2,0,Excelente,0,0,9,varon
968,1,1,7,resto ciudad,32,varon,1,6,0,0,ocupado,3,0,0,0,0,0,0,1,48,2,0,2,4808,3,2,2,6,32314,0,0,1,1,0,2,0,0,9,12000,9,12000,0,0,2,0,9,12000,2,0,2,0,2,0,2,0,2,0,2,0,9,12000,9,12000,4000,2,0,0,0,Secundario/ medio común,1,0,31,5,12,3,3,0,2016,2,1,2,2,2,2,2,2,0,Excelente,0,0,177,varon
968,1,2,7,resto ciudad,28,mujer,7,6,0,0,desocupado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,9,12000,4000,2,0,0,0,Universitario,1,0,28,7,17,3,3,0,2001,1,2,2,2,2,2,2,2,0,Excelente,2,0,177,mujer
968,1,3,7,resto ciudad,26,mujer,7,6,0,0,desocupado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,9,12000,4000,1,1,13,2,No corresponde,0,0,26,6,13,3,3,0,2008,1,2,2,2,2,2,2,2,0,Excelente,2,0,177,mujer
969,1,1,4,resto ciudad,32,varon,1,1,0,0,ocupado,3,0,0,0,0,0,0,1,53,2,0,2,4803,3,2,2,2,30334,0,0,2,1,0,2,0,0,1,12500,1,12500,0,0,2,0,1,12500,2,0,2,0,2,0,2,0,2,0,2,0,1,12500,1,27000,6750,2,0,0,0,Secundario/ medio común,1,0,31,5,12,6,6,0,1984,3,2,1,2,2,2,2,2,0,Excelente,0,0,162,varon
969,1,2,4,resto ciudad,29,mujer,2,1,0,0,ocupado,3,0,0,0,0,0,0,1,53,2,0,2,4803,3,2,2,2,30334,0,0,2,1,0,2,0,0,1,14500,1,14500,0,0,2,0,1,14500,2,0,2,0,2,0,2,0,2,0,2,0,1,14500,1,27000,6750,2,0,0,0,Secundario/ medio común,1,0,28,5,12,5,5,2000,2000,3,2,1,2,2,2,2,2,0,Excelente,1,2,162,mujer
969,1,3,4,resto ciudad,9,mujer,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27000,6750,1,2,3,4,No corresponde,0,0,9,2,3,1,1,0,1,3,2,1,2,2,2,2,2,0,Excelente,0,0,162,mujer
969,1,4,4,resto ciudad,3,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27000,6750,1,2,17,0,No corresponde,0,0,3,1,0,1,1,0,1,3,2,1,2,2,2,2,2,0,Excelente,0,0,162,varon
970,1,1,7,villas emergencia,32,varon,1,1,0,0,ocupado,2,0,0,0,0,0,0,1,71,2,0,2,4803,3,2,2,2,30113,2,0,0,0,0,0,2,0,1,3000,1,3000,0,0,2,0,1,3000,2,0,2,0,2,0,2,0,2,0,2,0,1,3000,1,7000,1750,2,0,0,0,Secundario/ medio común,1,0,32,5,12,5,5,2002,2002,1,2,2,2,2,2,2,1,3,Bueno,0,0,60,varon
970,1,2,7,villas emergencia,40,mujer,2,1,0,0,ocupado,2,0,0,0,0,0,0,1,70,2,0,2,4803,3,2,2,2,30113,2,0,0,0,0,0,2,0,1,3000,1,3000,0,0,2,0,1,3000,2,0,2,0,2,0,1,1000,2,0,1,1000,1,4000,1,7000,1750,2,0,0,0,Primario común,1,0,40,3,7,5,5,1987,1987,1,2,2,2,2,2,2,1,3,Bueno,1,2,60,mujer
970,1,3,7,villas emergencia,9,mujer,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000,1750,1,1,3,3,No corresponde,0,0,8,2,2,1,1,0,1,1,2,2,2,2,2,2,2,0,Bueno,0,0,60,mujer
970,1,4,7,villas emergencia,17,varon,3,6,95,2,desocupado,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,7000,1750,1,1,7,4,No corresponde,0,0,16,4,10,6,6,0,1999,1,2,2,2,2,2,2,2,0,Muy bueno,0,0,60,varon
971,1,1,9,resto ciudad,32,varon,1,1,0,0,ocupado,3,0,0,0,0,0,0,1,4,1,1,1,9200,8,2,2,2,30324,0,0,3,1,0,2,0,0,1,4000,1,4000,0,0,2,0,1,4000,2,0,2,0,2,0,2,0,2,0,2,0,1,4000,1,14000,4667,2,0,0,0,Secundario/ medio adultos,1,0,32,5,12,1,1,0,1,1,2,2,2,2,2,2,2,0,Muy bueno,0,0,378,varon
971,1,2,9,resto ciudad,30,mujer,2,1,0,0,ocupado,3,0,0,0,1,1,2,0,0,0,0,2,4807,3,2,2,3,20323,0,0,1,1,0,2,0,0,1,10000,1,10000,0,0,2,0,1,10000,2,0,2,0,2,0,2,0,2,0,2,0,1,10000,1,14000,4667,2,0,0,0,Polimodal,1,0,29,5,12,6,6,0,2015,3,2,1,2,2,2,2,1,1,Muy bueno,1,1,378,mujer
971,1,3,9,resto ciudad,0,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14000,4667,3,0,0,0,No corresponde,0,0,888,8,0,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,0,0,378,varon
972,1,1,2,resto ciudad,32,varon,1,2,0,0,ocupado,3,0,0,0,0,0,0,1,60,2,0,2,5601,3,2,2,4,53314,0,0,1,2,1,2,0,0,1,6000,1,6000,0,0,2,0,2,0,2,0,2,0,2,0,1,4000,2,0,1,4000,1,4000,1,4000,1333,2,0,0,0,Secundario/ medio adultos,2,2,31,4,9,2,2,0,1994,2,1,2,2,2,2,2,2,0,Regular,0,0,219,varon
972,1,2,2,resto ciudad,32,mujer,2,2,0,0,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,4000,1333,1,1,12,3,No corresponde,0,0,32,6,14,3,3,0,2006,1,2,2,2,2,2,2,2,0,Regular,1,1,219,mujer
972,1,3,2,resto ciudad,2,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,1333,3,0,0,0,No corresponde,0,0,2,8,0,1,1,0,1,1,2,2,2,2,2,2,1,3,Excelente,0,0,219,varon
973,1,1,15,resto ciudad,32,varon,1,1,0,0,ocupado,1,0,0,0,0,0,0,1,50,2,0,2,4807,3,2,2,2,5002,2,0,0,0,0,0,2,0,1,15000,1,15000,0,0,2,0,1,15000,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,1,24000,8000,2,0,0,0,Terciario/ superior no universitario,2,2,32,6,14,4,5,1995,1995,3,2,1,2,2,2,2,2,0,Muy bueno,0,0,93,varon
973,1,2,15,resto ciudad,26,mujer,2,1,0,0,ocupado,3,0,0,0,1,2,2,0,0,0,0,2,4803,3,2,2,4,10333,0,0,1,1,0,2,0,0,1,9000,1,9000,0,0,2,0,1,9000,2,0,2,0,2,0,2,0,2,0,2,0,1,9000,1,24000,8000,2,0,0,0,Terciario/ superior no universitario,1,0,25,7,15,6,6,0,2015,3,2,1,2,2,2,2,2,0,Muy bueno,1,1,93,mujer
973,1,3,15,resto ciudad,0,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24000,8000,3,0,0,0,No corresponde,0,0,888,8,0,1,1,0,1,3,2,1,2,2,2,2,2,0,Muy bueno,0,0,93,varon
974,1,1,5,resto ciudad,32,varon,1,1,0,0,ocupado,3,0,0,0,0,0,0,2,68,2,0,2,6000,5,2,2,3,50332,0,0,2,1,0,2,0,0,1,20000,1,20000,1,8000,2,0,1,28000,2,0,2,0,2,0,2,0,2,0,2,0,1,28000,1,42000,21000,2,0,0,0,Terciario/ superior no universitario,1,0,32,7,15,6,6,0,2014,2,1,2,2,2,2,2,2,0,Excelente,0,0,220,varon
974,1,2,5,resto ciudad,34,mujer,2,1,0,0,ocupado,3,0,0,0,0,0,0,1,30,2,0,2,6000,5,2,2,4,50332,0,0,1,1,0,2,0,0,1,14000,1,14000,0,0,2,0,1,14000,2,0,2,0,2,0,2,0,2,0,2,0,1,14000,1,42000,21000,2,0,0,0,Universitario,1,0,34,7,17,6,6,0,2014,3,2,1,2,2,2,2,2,0,Excelente,2,0,220,mujer
975,1,1,11,resto ciudad,32,varon,1,1,0,0,ocupado,3,0,0,0,0,0,0,1,60,2,0,2,4502,3,2,2,2,82313,0,0,2,1,0,2,0,0,1,20000,1,20000,0,0,2,0,1,20000,2,0,2,0,2,0,2,0,2,0,2,0,1,20000,1,26900,6725,2,0,0,0,Terciario/ superior no universitario,2,2,31,6,14,4,5,2004,2004,1,2,2,2,2,2,2,2,0,Bueno,0,0,94,varon
975,1,2,11,resto ciudad,38,mujer,2,1,0,0,ocupado,3,0,0,0,0,0,0,2,20,2,0,2,9700,9,0,0,0,55314,0,0,1,1,0,2,0,0,1,3500,1,3500,1,2200,2,0,1,5700,2,0,2,0,2,0,2,0,2,0,2,0,1,5700,1,26900,6725,2,0,0,0,Terciario/ superior no universitario,2,2,38,6,14,4,5,2001,2001,1,2,2,2,2,2,2,2,0,Bueno,1,2,94,mujer
975,1,3,11,resto ciudad,20,varon,3,6,95,2,inactivo,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,1,1200,2,0,2,0,2,0,2,0,2,0,2,0,1,1200,1,26900,6725,1,1,7,4,No corresponde,0,0,19,4,10,4,5,2007,2007,1,2,2,2,2,2,1,2,0,Bueno,0,0,94,varon
975,1,4,11,resto ciudad,10,mujer,3,0,1,2,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,26900,6725,1,1,3,4,No corresponde,0,0,9,2,3,1,1,0,1,1,2,2,2,2,2,1,2,0,Muy bueno,0,0,94,mujer
976,1,1,4,resto ciudad,32,mujer,1,6,0,0,ocupado,3,0,0,0,0,0,0,1,18,1,1,2,8600,7,2,3,4,10333,0,0,3,1,0,2,0,0,9,8000,9,8000,0,0,2,0,9,8000,2,0,2,0,9,10000,2,0,2,0,9,10000,9,18000,9,18000,18000,2,0,0,0,Terciario/ superior no universitario,1,0,32,7,15,5,5,1990,2014,1,2,2,2,2,2,2,2,0,Bueno,2,0,110,mujer
977,1,1,7,resto ciudad,32,varon,1,6,0,0,ocupado,3,0,0,0,0,0,0,1,40,2,0,2,4000,2,2,5,2,72312,0,0,2,1,0,2,0,0,1,22000,1,22000,0,0,2,0,1,22000,2,0,2,0,2,0,2,0,2,0,2,0,1,22000,1,22000,22000,2,0,0,0,Terciario/ superior no universitario,2,1,32,6,13,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,0,0,400,varon
978,1,1,8,resto ciudad,32,varon,1,3,0,0,ocupado,3,0,0,0,0,0,0,1,50,2,0,2,4807,3,2,2,3,30332,0,0,1,1,0,2,0,0,1,15700,1,15700,0,0,2,0,1,15700,2,0,2,0,2,0,2,0,2,0,2,0,1,15700,1,15700,15700,2,0,0,0,Terciario/ superior no universitario,1,0,32,7,15,1,1,0,1,3,2,1,2,2,2,2,2,0,Excelente,0,0,77,varon
979,1,1,4,resto ciudad,32,mujer,1,6,0,0,ocupado,3,0,0,0,0,0,0,2,29,2,0,2,8501,7,2,2,4,41312,0,0,1,1,0,2,0,0,1,6000,1,6000,9,6000,2,0,9,12000,2,0,2,0,2,0,2,0,2,0,2,0,9,12000,9,12000,12000,2,0,0,0,Terciario/ superior no universitario,1,0,32,7,15,1,1,0,1,3,2,1,2,2,2,2,2,0,Bueno,2,0,134,mujer
980,1,1,12,resto ciudad,32,varon,1,2,0,0,ocupado,3,0,0,0,0,0,0,1,40,2,0,2,2009,1,2,3,3,36313,0,0,1,1,0,2,0,0,1,18000,1,18000,0,0,2,0,1,18000,2,0,2,0,2,0,2,0,2,0,2,0,1,18000,1,18000,6000,2,0,0,0,Terciario/ superior no universitario,1,0,32,7,15,6,6,0,2010,2,1,2,2,2,2,2,2,0,Bueno,0,0,387,varon
980,1,2,12,resto ciudad,33,mujer,2,2,0,0,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,18000,6000,2,0,0,0,Terciario/ superior no universitario,2,1,32,6,13,1,1,0,2010,2,1,2,2,2,2,2,2,0,Bueno,1,1,387,mujer
980,1,3,12,resto ciudad,4,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000,6000,1,1,17,0,No corresponde,0,0,3,1,0,1,1,0,1,2,1,2,2,2,2,2,2,0,Bueno,0,0,387,varon
