random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
215,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,1 = Yes,1 = Yes,71.428574
216,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,60,1 = Yes,1 = Yes,
217,0 Hogar no motivado,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,
218,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,0 = No,0 = No,85.714287
220,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,61,0 = No,0 = No,
221,0 Hogar no motivado,0 Hogar no conectado,1 = Male,52,1 = Yes,1 = Yes,85.714287
222,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,57,1 = Yes,1 = Yes,85.714287
223,0 Hogar no motivado,0 Hogar no conectado,1 = Male,70,,,
224,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,1 = Yes,1 = Yes,14.285715
226,0 Hogar no motivado,0 Hogar no conectado,1 = Male,54,0 = No,0 = No,
227,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,55,0 = No,0 = No,
228,0 Hogar no motivado,1 Hogar conectado,2 = Female,60,0 = No,0 = No,
229,0 Hogar no motivado,0 Hogar no conectado,1 = Male,67,1 = Yes,1 = Yes,14.285715
230,0 Hogar no motivado,0 Hogar no conectado,1 = Male,28,1 = Yes,1 = Yes,
231,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,33,1 = Yes,1 = Yes,
232,0 Hogar no motivado,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,85.714287
233,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,55,1 = Yes,1 = Yes,57.14286
234,0 Hogar no motivado,0 Hogar no conectado,2 = Female,59,0 = No,0 = No,42.857143
235,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,0 = No,0 = No,85.714287
236,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,42,0 = No,0 = No,
237,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,36,1 = Yes,1 = Yes,14.285715
239,0 Hogar no motivado,0 Hogar no conectado,1 = Male,38,1 = Yes,1 = Yes,
240,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,49,1 = Yes,1 = Yes,
241,0 Hogar no motivado,0 Hogar no conectado,1 = Male,47,1 = Yes,1 = Yes,28.57143
242,0 Hogar no motivado,0 Hogar no conectado,1 = Male,28,1 = Yes,1 = Yes,0
243,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,55,1 = Yes,1 = Yes,
244,0 Hogar no motivado,0 Hogar no conectado,1 = Male,39,1 = Yes,1 = Yes,
245,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,1 = Yes,1 = Yes,
246,0 Hogar no motivado,0 Hogar no conectado,1 = Male,50,1 = Yes,1 = Yes,14.285715
247,0 Hogar no motivado,0 Hogar no conectado,1 = Male,65,1 = Yes,1 = Yes,
249,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,46,1 = Yes,1 = Yes,85.714287
250,0 Hogar no motivado,1 Hogar conectado,2 = Female,23,1 = Yes,1 = Yes,85.714287
253,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,58,0 = No,0 = No,
255,0 Hogar no motivado,0 Hogar no conectado,2 = Female,58,0 = No,0 = No,
256,0 Hogar no motivado,0 Hogar no conectado,1 = Male,49,1 = Yes,1 = Yes,
257,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,0 = No,0 = No,28.57143
259,0 Hogar no motivado,0 Hogar no conectado,1 = Male,56,1 = Yes,1 = Yes,71.428574
261,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,48,0 = No,0 = No,71.428574
262,0 Hogar no motivado,0 Hogar no conectado,2 = Female,61,0 = No,0 = No,
263,0 Hogar no motivado,0 Hogar no conectado,2 = Female,56,0 = No,0 = No,
264,0 Hogar no motivado,0 Hogar no conectado,2 = Female,64,0 = No,0 = No,
265,0 Hogar no motivado,0 Hogar no conectado,1 = Male,,0 = No,0 = No,
267,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,43,0 = No,0 = No,
268,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,53,1 = Yes,1 = Yes,14.285715
269,0 Hogar no motivado,0 Hogar no conectado,1 = Male,39,1 = Yes,1 = Yes,
270,0 Hogar no motivado,1 Hogar conectado,1 = Male,51,1 = Yes,1 = Yes,57.14286
271,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,61,1 = Yes,1 = Yes,85.714287
272,0 Hogar no motivado,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,85.714287
273,0 Hogar no motivado,0 Hogar no conectado,1 = Male,38,1 = Yes,1 = Yes,
274,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,
275,0 Hogar no motivado,0 Hogar no conectado,2 = Female,115,,,
276,0 Hogar no motivado,0 Hogar no conectado,1 = Male,64,0 = No,0 = No,
277,0 Hogar no motivado,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,85.714287
279,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,1 = Yes,1 = Yes,
281,0 Hogar no motivado,0 Hogar no conectado,1 = Male,40,0 = No,0 = No,71.428574
282,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,0 = No,0 = No,71.428574
283,0 Hogar no motivado,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,71.428574
284,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,70,1 = Yes,1 = Yes,
285,0 Hogar no motivado,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,85.714287
286,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,35,1 = Yes,1 = Yes,
288,0 Hogar no motivado,0 Hogar no conectado,2 = Female,58,0 = No,0 = No,
289,0 Hogar no motivado,0 Hogar no conectado,1 = Male,83,1 = Yes,0 = No,
292,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,54,0 = No,0 = No,
293,0 Hogar no motivado,0 Hogar no conectado,1 = Male,42,1 = Yes,0 = No,57.14286
294,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,39,0 = No,0 = No,
295,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,1 = Yes,1 = Yes,85.714287
297,0 Hogar no motivado,0 Hogar no conectado,1 = Male,40,0 = No,0 = No,42.857143
298,0 Hogar no motivado,0 Hogar no conectado,1 = Male,61,0 = No,0 = No,
299,0 Hogar no motivado,0 Hogar no conectado,1 = Male,41,0 = No,0 = No,57.14286
300,0 Hogar no motivado,0 Hogar no conectado,2 = Female,61,0 = No,0 = No,85.714287
304,0 Hogar no motivado,0 Hogar no conectado,1 = Male,75,0 = No,0 = No,
305,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,51,0 = No,0 = No,
306,0 Hogar no motivado,0 Hogar no conectado,2 = Female,41,0 = No,0 = No,
307,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,31,0 = No,0 = No,
309,0 Hogar no motivado,0 Hogar no conectado,1 = Male,31,1 = Yes,1 = Yes,71.428574
310,0 Hogar no motivado,0 Hogar no conectado,1 = Male,44,1 = Yes,1 = Yes,85.714287
311,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,71.428574
312,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,46,0 = No,0 = No,
313,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,64,0 = No,0 = No,
314,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,65,1 = Yes,1 = Yes,
315,0 Hogar no motivado,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,
317,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,58,0 = No,0 = No,
318,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,55,1 = Yes,1 = Yes,57.14286
319,0 Hogar no motivado,0 Hogar no conectado,2 = Female,48,1 = Yes,1 = Yes,42.857143
320,0 Hogar no motivado,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,
322,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,28,0 = No,0 = No,85.714287
323,0 Hogar no motivado,0 Hogar no conectado,2 = Female,76,0 = No,0 = No,
324,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,52,1 = Yes,1 = Yes,
325,0 Hogar no motivado,0 Hogar no conectado,1 = Male,50,1 = Yes,1 = Yes,
326,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,80,0 = No,0 = No,
327,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,1 = Yes,1 = Yes,85.714287
328,0 Hogar no motivado,0 Hogar no conectado,1 = Male,36,1 = Yes,1 = Yes,71.428574
331,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,64,1 = Yes,1 = Yes,85.714287
333,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,,0 = No,0 = No,
334,0 Hogar no motivado,0 Hogar no conectado,1 = Male,38,0 = No,0 = No,
335,0 Hogar no motivado,0 Hogar no conectado,2 = Female,41,0 = No,0 = No,71.428574
336,0 Hogar no motivado,1 Hogar conectado,1 = Male,41,0 = No,0 = No,28.57143
337,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,56,1 = Yes,1 = Yes,
338,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,40,1 = Yes,1 = Yes,57.14286
